symbol,strategy,profit,return_pct,drawdown,trades,sharpe_ratio,sortino_ratio,win_rate,profit_factor,final_capital
BTCUSDT,Swing Trading,1305.82,13.06,5.0,15,1.037,0.976,40.0,3.123,11305.82
BTCUSDT,Scalping,1134.87,11.35,17.0,7,0.415,0.489,14.29,5.429,11134.87
BTCUSDT,VWAP,1006.35,10.06,17.67,23,0.375,0.442,4.35,3.63,11006.35
BTCUSDT,Breakout,765.92,7.66,5.55,66,0.718,0.724,31.82,1.499,10765.92
ETHUSDT,Swing Trading,679.72,6.8,7.76,17,0.474,0.415,29.41,1.752,10679.72
ETHUSDT,Volume Spike,664.22,6.64,6.87,136,0.512,0.472,40.44,1.202,10664.22
BTCUSDT,Volume Spike,366.56,3.67,4.92,148,0.401,0.362,41.89,1.142,10366.56
ETHUSDT,MACD,342.97,3.43,7.98,245,0.28,0.301,33.06,1.082,10342.97
BTCUSDT,Bollinger Bands,317.1,3.17,4.92,75,0.342,0.306,66.67,1.223,10317.1
BTCUSDT,Mean Reversion,317.1,3.17,4.92,75,0.342,0.306,66.67,1.223,10317.1
BTCUSDT,EMA Cross,230.8,2.31,7.67,112,0.246,0.244,29.46,1.111,10230.8
BTCUSDT,Trend Following,230.8,2.31,7.67,112,0.246,0.244,29.46,1.111,10230.8
ETHUSDT,Breakout,74.62,0.75,8.96,71,0.076,0.074,28.17,1.027,10074.62
BTCUSDT,MACD,-142.67,-1.43,6.5,249,-0.134,-0.138,32.93,0.957,9857.33
BTCUSDT,RSI,-193.28,-1.93,5.81,84,-0.194,-0.17,61.9,0.876,9806.72
ETHUSDT,Bollinger Bands,-247.77,-2.48,6.61,74,-0.169,-0.146,60.81,0.873,9752.23
ETHUSDT,Mean Reversion,-247.77,-2.48,6.61,74,-0.169,-0.146,60.81,0.873,9752.23
ETHUSDT,EMA Cross,-251.87,-2.52,9.65,123,-0.167,-0.162,20.33,0.926,9748.13
ETHUSDT,Trend Following,-251.87,-2.52,9.65,123,-0.167,-0.162,20.33,0.926,9748.13
ETHUSDT,VWAP,-282.13,-2.82,13.39,40,-0.113,-0.106,5.0,0.679,9717.87
ETHUSDT,Scalping,-308.85,-3.09,14.33,10,-0.132,-0.12,10.0,0.577,9691.15
ETHUSDT,RSI,-436.18,-4.36,7.1,84,-0.333,-0.277,53.57,0.793,9563.82
BTCUSDT,ATR,-602.93,-6.03,11.2,407,-0.602,-0.631,20.88,0.84,9397.07
ETHUSDT,ATR,-880.03,-8.8,12.74,428,-0.681,-0.711,22.66,0.814,9119.97
